store,item,smape
2,46,9.0367877168229
2,11,9.004233140944589
4,35,8.994137795253982
4,33,8.986844269799013
2,33,8.981072076896577
10,38,8.978329424918934
9,13,8.959902997650616
3,18,8.958517880256677
8,2,8.94701494973969
1,12,8.941856865612202
10,24,8.940653582828444
4,29,8.935861106022152
8,8,8.933515968047583
9,8,8.918892722836441
8,13,8.91059125420363
4,13,8.903480543797457
9,11,8.8730751501007
3,2,8.864273395352877
3,46,8.83344469085615
5,18,8.816399467539735
1,15,8.79713228363877
8,50,8.79382266238789
8,11,8.741019950738197
3,38,8.734137086645763
4,22,8.725067758784128
3,13,8.723417781548676
2,36,8.710707292339258
2,12,8.702986129410567
3,36,8.692472282277548
2,35,8.685538024243113
8,45,8.679450023869519
4,24,8.647903899334823
8,29,8.6465137900332
8,36,8.626232716426927
3,33,8.6237302777067
3,7,8.6216183835528
4,38,8.602229032673755
8,38,8.601230656581354
8,31,8.583421692427907
6,10,8.558004809275568
4,36,8.532164347035884
2,45,8.448793401474871
3,15,8.373708495194723
3,28,8.36395112617816
2,38,8.357919416356708
2,28,8.323417161730271
2,8,8.297146529100296
3,8,8.270858365275844
10,15,8.256065035634522
9,45,8.217616385414086
10,36,8.20261611134869
1,22,8.163470326452046
9,15,8.13614130692844
9,28,8.130198596751471
3,35,8.123391524443049
10,45,8.037057156492807
10,7,8.01996031361068
10,22,7.992479125132801
3,22,7.98230452630292
8,15,7.914680650886355
8,10,7.906723623055946
2,24,7.894933140420404
8,22,7.883654134524795
3,25,7.7959741441735995
8,18,7.787637613111839
2,13,7.7324507162978975
4,15,7.700970528237705
8,25,7.649659813762274
10,13,7.571352527346788
10,28,7.522604398978561
2,18,7.494402815546664
2,15,7.303580822200543
10,18,7.287891673501011
2,22,7.15605979431176
